Day_ID;Week_Number;Day_Title;Somatic_Exercise_Title;Somatic_Exercise_Text;Neuro_Science_Why;Yoga_Philosophy;Haptic_Pattern;Duration_Seconds;Visual_Instruction
DAY_11;2;Zvuk uklidní;Prodloužený výdech se zvukem;Nadechněte se a při výdechu vydávejte tichý zvuk mmm nebo vvv. Vnímejte vibraci v hrudi a krku. Opakujte 8–10 krát. Pokud se stydíte za zvuk, zkuste to v polštáři.;Zvukové vibrace stimulují nervus vagus přes jeho větve v hltanu a hrtanu, tzv. vokální vagální smyčku. Tato stimulace rychle snižuje srdeční frekvenci a aktivuje systém sociálního zapojení.;Mantra jako nástroj – vibrace zvuku proniká tam, kde slova nestačí.;HUM_VIBRATE;240;Fialové kruhy vycházejí ze středu obrazovky v rytmu zvukových vibrací.
DAY_12;2;Krizový kotev;4-7-8 Dech;Zavřete ústa a nadechněte se nosem tiše na 4 doby. Zadržte dech na 7 dob. Vydechněte ústy s tichým zvukem na 8 dob. Opakujte 4 cykly. Tato technika funguje nejlépe před spaním nebo při úzkosti.;Zadržení dechu zvyšuje hladinu oxidu uhličitého v krvi, což paradoxně zklidňuje paniku a rozšiřuje krevní cévy. Aktivace parasympatiku přes prodloužený výdech pak nastartuje kaskádu relaxačních neurotransmiterů.;Kumbhaka – zadržení dechu jako prostor mezi vdechem a vydechem, kde přebývá ticho.;CALM_ANCHOR;420;Tmavě modrý měsíc se pomalu otáčí při zadržení dechu, pak splyne do klidné noci.
DAY_13;2;Přirozený rytmus;Koherentní dýchání;Dýchejte rovnoměrně – nádech na 5 dob, výdech na 5 dob, bez pauz. Nechte tělo najít přirozený rytmus. Cvičte minimálně 5 minut pro plný účinek.;Dýchání frekvencí 0,1 Hz (přibližně 6 dechů za minutu) synchronizuje srdeční rytmus s dechem a maximalizuje srdeční variabilitu. Tento stav koherence snižuje kortizol a zvyšuje schopnost zvládat stres v reálném čase.;Prana vayu – rovnoměrný tok životní energie jako základ zdraví nervového systému.;COHERENCE_FLOW;360;Zlatý kruh se plynule zvětšuje a zmenšuje v pěti sekundovém rytmu bez přerušení.
DAY_14;2;Dechový záchranář;Integrace dechu;Projděte si mentálně techniky tohoto týdne: krabicový dech, prodloužený výdech, brániční dýchání, 4-7-8. Vyberte jednu a cvičte ji 5 minut. Zapište si nebo si zapamatujte, která technika se vám zdá nejpřirozenější.;Vědomý výběr dechové techniky posiluje dorzolaterální prefrontální kůru – část mozku zodpovědnou za plánování a seberegulaci. Opakovaný výběr buduje nové defaultní neurální dráhy pro zvládání stresu.;Viveka – rozlišovací schopnost jako dar, který přichází praxí a sebepozorováním.;PERSONAL_BREATH;420;Obrazovka zobrazí čtyři ikony technik, uživatel vybere svou oblíbenou, která se pak rozsvítí.
DAY_15;3;Myšlenkový déšť;Pozorování myšlenek;Sedněte si pohodlně a nechte myšlenky přicházet a odcházet, jako byste seděli u řeky a sledovali plovoucí listy. Nekritizujte, neodháněti – jen pozorujte. Nastavte časovač na 5 minut.;Decentrace – schopnost sledovat myšlenky jako mentální události spíše než jako fakta – je klíčovou funkcí meditace všímavosti. Aktivuje mediální prefrontální kůru a snižuje default mode network, síť zodpovědnou za ruminaci.;Sakshi – svědek vědomí, ta část v nás, která pozoruje, ale nehodnotí.;MIND_STREAM;360;Jemné zelené listy se pomalu klouzají přes obrazovku zleva doprava v proměnlivém tempu.
DAY_16;3;Stop a dech;Technika STOP;Kdykoli se přistihneš, jak se točíš v myšlenkách, použij zkratku STOP: S – zastav se, T – dechni (jeden hluboký dech), O – pozoruj, co se děje v těle a mysli, P – pokračuj vědomě. Procvičujte to dnes 3–5×.;Metakognice – schopnost myslet o vlastním myšlení – je regulována prefrontální kůrou. Krátká pauza přerušuje automatické zpracování amygdalou a dává prefrontálním oblastem čas převzít kontrolu nad reakcí.;Prajna – moudrost jako schopnost rozpoznat automatismus a zvolit vědomou odpověď.;STOP_RESET;180;Červené světlo se změní na zelené s jednoduchým textem: Jsi tady. Jsi v bezpečí.
DAY_17;3;Přepisování příběhu;Kognitivní reframing;Vezměte jednu myšlenku, která vás trápí, a napište nebo promyslete tři alternativní vysvětlení situace – bez ohledu na to, zda jim věříte. Pak se zeptejte: Které z vysvětlení mi dává více energie a prostoru?;Kognitivní flexibilita – schopnost zvažovat více interpretací – závisí na dorsolaterální prefrontální kůře. Tréning alternativních pohledů fyzicky posiluje synaptické spoje, které tlumí reaktivní amygdalu.;Aparigraha – nepřilnutí k jedinému pohledu na situaci jako praxe vnitřní svobody.;OPEN_MIND;300;Tři barevné bubliny se rozrůstají kolem střední myšlenky, každá jiná barva pro jiný úhel pohledu.
DAY_18;3;Tělesná moudrost;Tělo jako kompas;Vzpomeňte si na obtížnou situaci. Zavřete oči a sledujte, jak reaguje vaše tělo na různé možnosti rozhodnutí. Kde cítíte stažení, tlak nebo uvolnění? Tělo ví dřív než mysl.;Somatické markery (Damasio) jsou tělesné signály, které mozek používá k rychlému hodnocení situací na základě minulých zkušeností. Ostrovní kůra (insula) integruje tyto signály a předává je do prefrontálních center rozhodování.;Sraddha – důvěra ve vlastní vnitřní moudrost jako základ autentické praxe.;BODY_COMPASS;360;Kompasová šipka pomalu rotuje a zastavuje se tam, kde uživatel cítí odezvu v těle.
DAY_19;3;Soucit se sebou;Self-compassion pauza;Přiložte ruce na hrudník. Řekněte si v duchu: Teď mi je těžko. Těžko bývá každému. Jsem v tom s plným přijetím. Zůstaňte takto 3 minuty a vnímejte teplo dlaní.;Self-compassion aktivuje systém péče v mozku a snižuje aktivitu systému hrozby. Studie Kristin Neff ukazují, že soucit se sebou zvyšuje emoční odolnost a snižuje úzkost efektivněji než zvyšování sebeúcty.;Karuna – soucit jako praxe, která začíná u nás samotných, ne až u ostatních.;HEART_WARM;300;Zlatý pulz vychází ze středu obrazovky, ruce jsou naznačeny jako silueta na hrudníku.
DAY_20;3;Jiná mapa;Přepsání negativního vzorce;Identifikujte jeden opakující se negativní vzorec myšlení. Napište nebo si vybavte jeho opak – větu, která je pozitivní a uvěřitelná (ne přehnaně optimistická). Pak ji 5× opakujte nahlas nebo v duchu, zatímco dýcháte pomalu.;Opakování alternativní kognitivní mapy aktivuje neuroplasticitu prostřednictvím Hebbianského učení – nervové dráhy, které se opakovaně aktivují společně, se posilují. Tím skutečně měníme defaultní nastavení mozkových vzorců.;Abhyása – soustavná praxe jako jediný způsob, jak přepisat staré mapy a vytvářet nové.;REWIRE_PULSE;300;Synapsy se graficky propojují v zlaté barvě, vizualizace neuroplasticity.
DAY_21;3;Mysl jako prostor;Integrace třetího týdne;Sezení ve dvou částech: 3 minuty pozorování myšlenek jako listů na řece, pak 3 minuty s rukami na hrudníku a soucitem k sobě. Na závěr jednou větou dokončete: Moje mysl je schopná...;Kombinace decentrace a soucitu se sebou vytváří optimální podmínky pro konsolidaci nových nervových drah. Přechod mezi oběma praxemi trénuje kognitivní flexibilitu a emoční regulaci simultánně.;Chitta vritti nirodha – zklidnění vírů mysli jako cíl praxe, ne jako startovní bod.;MIND_SPACE;420;Plynulý přechod z modré (myšlenky) do zlaté (srdce) barvy v průběhu cvičení.
DAY_22;4;Každodenní kotva;Ranní rituál;Každé ráno hned po probuzení: 3 hluboké bránicové nádechy, 30 sekund sken tělem, jedna věta záměru pro dnešní den. Celé to trvá méně než 2 minuty. Zkuste to dnes a zítra.;Ranní nastavení vědomé pozornosti ovlivňuje výchozí hladinu kortizolu, která přirozeně vrcholí po probuzení (kortizolové probuzení). Záměrný přechod do vědomého stavu snižuje reaktivitu nervového systému na první stresory dne.;Brahma muhurta – čas těsně po probuzení jako nejsilnější okamžik pro vědomou praxi.;MORNING_ANCHOR;180;Zlaté slunce vychází v horní části obrazovky, postupně osvětluje celou plochu.
DAY_23;4;Pohyb jako lék;Vědomá chůze;Vyjděte na 10minutovou procházku – nebo ji simulujte doma. Vnímejte každý krok: kontakt chodidla, přenos váhy, pohyb paží. Pokud přijde rušivá myšlenka, vraťte pozornost k chodidlu. Krok za krokem.;Vědomá chůze aktivuje parasympatický nervový systém přes propriocepci a zároveň zvyšuje hladinu BDNF – mozku přátelského proteinu, který podporuje neuroplasticitu. Rytmický pohyb synchronizuje levou a pravou mozkovou hemisféru.;Kinhin – chůze jako pohyblivá meditace, přítomnost v každém kroku, ne až v cíli.;STEP_RHYTHM;480;Kroky jsou vizualizovány jako zlaté stopy na cestě, každý krok přidá jednu stopu.
DAY_24;4;Nervový systém v práci;Polyvagální ladění;Posaďte se rovně, přiložte ruce na uši tak, aby vaše dlaně zakryly zvuky. Zůstaňte tak minutu a pak ruce sundejte. Opakujte 3×. Vnímejte změnu pocitu bezpečí před a po.;Jemná stimulace středního ucha přes dlaně aktivuje středoušní svaly inervované větvemi bloudivého nervu, což přeladí nervový systém do sociálního zapojení (ventral vagal). Toto je princip Safe and Sound Protocol (SSP).;Pratyahara v pohybu – jemné uzavření smyslů jako cesta k vnitřnímu slyšení.;EAR_COCOON;300;Tmavě zelené kruhy se tvoří kolem uší na siluetě postavy, pak se rozsvítí celá.
DAY_25;4;Přijetí nejistoty;Techniky tolerance nejistoty;Napište nebo si promyslete jednu věc, která vám způsobuje nejistotu. Pak k ní postupně přidávejte věty: Nevím, co bude. A to je v pořádku. Mám nástroje, jak zvládnout, co přijde.;Tolerance nejistoty je naučená dovednost, která závisí na inzulární kůře a anteriorní cingulární kůře. Opakované vědomé setkání s nejistotou bez katastrofizace postupně snižuje aktivaci amygdaly v reakci na neznámé situace.;Isvara pranidhana – odevzdání výsledku jako praxe důvěry v proces, ne únik od odpovědnosti.;UNCERTAINTY_HOLD;360;Mlhavé obrysy se pomalu vyjasňují, ale střed obrazovky zůstává záměrně rozmazaný.
DAY_26;4;Sociální bezpečí;Kontakt s druhým;Vzpomeňte si na člověka, u kterého se cítíte bezpečně. Představte si jeho tvář. Vnímejte, co se děje ve vašem těle, když si ho vybavíte. Zůstaňte s tímto pocitem 3 minuty a nechte ho proniknout do hrudníku.;Vizualizace bezpečné osoby aktivuje systém sociálního zapojení a uvolňuje oxytocin, i bez fyzické přítomnosti dané osoby. Neuroimaging potvrzuje, že mozek reaguje na mentální obraz podobně jako na reálnou situaci.;Sangha – komunita jako jeden ze tří pilířů praxe, protože léčba se děje ve vztahu.;SOCIAL_WARMTH;300;Teplé zlatooranžové světlo vychází ze středu a šíří se jako objetí přes celou obrazovku.
DAY_27;4;Krize jako učitel;Reflexe těžkého momentu;Vzpomeňte si na situaci, kdy vám bylo těžko a přesto jste to zvládli. Co vám tehdy pomohlo? Jak se vaše tělo cítí teď, když si to vybavujete? Dechněte a řekněte si: Zvládl/a jsem to tehdy. Zvládnu i to, co přijde.;Rekonsoldace paměti umožňuje přepsání emocionálního tónu vzpomínky. Vybavení obtížné zkušenosti v bezpečném stavu (parasympatická aktivace) postupně mění to, jak ji mozek kóduje a jak reaktivní zůstává.;Tapas jako svědek – pohled zpět na výzvy s odvahou a bez sebesoudu jako praxe zrání.;RESILIENCE_GLOW;360;Oranžová linie vykresluje horu s prudkým výstupem a rovným vrcholem jako symbol odolnosti.
DAY_28;4;Osobní sada nástrojů;Výběr tří technik;Projděte si mentálně všechny techniky programu. Vyberte tři, které vám rezonují nejvíc. Procvičte každou po 2 minutách v pořadí: tělesná – dechová – mentální.;Personalizace intervenčního repertoáru zvyšuje adherenci a efektivitu samoregulace. Výzkum ukazuje, že jednotlivci s více než dvěma aktivními copingovými strategiemi vykazují výrazně nižší skóre úzkosti po 8 týdnech praxe.;Svadhyáya v akci – sebepoznání jako průběžný výběr toho, co skutečně slouží mému růstu.;TOOLKIT_FLOW;420;Tři ikony technik se rozsvítí postupně, uživatel si vybírá svou kombinaci kliknutím.
DAY_29;4;Každodenní praxe;Miniprogram 5 minut;Navrhněte si vlastní 5minutový denní rituál z toho, co jste se naučili: 1 minuta sken tělem, 2 minuty oblíbená dechová technika, 2 minuty soucit se sebou nebo pozorování myšlenek. Zapište si ho nebo sdílejte s někým.;Konsolidace nových návyků závisí na opakování v kontextu. Praxe kratší než 10 minut, ale prováděná denně, prokazatelně mění hustotu šedé hmoty v prefrontální kůře za 8 týdnů, jak ukazuje výzkum Sary Lazarové z Harvardu.;Niyama – disciplína ne jako trest, ale jako péče o sebe – každý den trochu, ne jednou dokonale.;DAILY_RITUAL;360;Uživatel si skládá svůj mini-program z ikon jako puzzle, výsledek se uloží do profilu.
DAY_30;4;Jsem celý/á;Integrace a oslava;Proveďte kompletní sekvenci: 3 minuty sken tělem, 3 minuty koherentní dýchání, 3 minuty soucit se sebou s rukama na hrudníku. Na závěr se zeptejte svého těla: Co vím teď, co jsem nevěděl/a před 30 dny?;Dokončení strukturovaného programu aktivuje systém odměny dopaminergní dráhou a konsoliduje nové nervové dráhy prostřednictvím reflexivního zpracování. Vědomé uzavření posiluje vnitřní narraci kompetence – základní regulátor odolnosti.;Poorna – celost. Vše, co hledáme, je již přítomno. Praxe nás na to pouze znovu upozorní.;FULL_INTEGRATION;600;Postupná animace všech barev programu splyne v bílé světlo, hvězdičky na závěr.
